Planetary Positions 2025-2035
date_utc,JD,Sun_lon,Moon_lon,Moon_lat_deg,Moon_dist_km,Mercury_lon,Venus_lon,Mars_lon,Jupiter_lon,Saturn_lon,Uranus_lon,Neptune_lon,Ascendant_deg,MC_deg,Mercury_retro,Venus_retro,Mars_retro,Jupiter_retro,Saturn_retro,Uranus_retro,Neptune_retro,Moon_retro
2025-01-01T00:00:00Z,2460676.50000,280.458996,293.745072,-4.6012,382184.83,259.511536,327.358268,121.550203,72.875733,343.850262,53.441623,356.849754,4.664495,24.954780,0,0,1,1,0,1,0,0
2025-01-02T00:00:00Z,2460677.50000,281.478226,307.276161,-4.0303,377327.78,260.810189,328.428816,121.217811,72.770419,343.926784,53.417527,356.863889,5.607114,25.890436,0,0,1,1,0,1,0,0
2025-01-03T00:00:00Z,2460678.50000,282.497472,321.005366,-3.2168,372845.38,262.132175,329.494258,120.876050,72.667494,344.004623,53.394152,356.878571,6.557388,26.828273,0,0,1,1,0,1,0,0
2025-01-04T00:00:00Z,2460679.50000,283.516722,334.887132,-2.1991,368970.94,263.475139,330.554415,120.525505,72.567030,344.083763,53.371509,356.893796,7.515564,27.768354,0,0,1,1,0,1,0,0
2025-01-05T00:00:00Z,2460680.50000,284.535967,348.879920,-1.0337,365908.58,264.837056,331.609101,120.166791,72.469093,344.164186,53.349606,356.909561,8.481900,28.710737,0,0,1,1,0,1,0,0
2025-01-06T00:00:00Z,2460681.50000,285.555194,2.950756,0.2075,363821.88,266.216190,332.658124,119.800554,72.373749,344.245875,53.328454,356.925861,9.456655,29.655477,0,0,1,1,0,1,0,0
2025-01-07T00:00:00Z,2460682.50000,286.574395,17.075247,1.4436,362824.18,267.611060,333.701282,119.427469,72.281060,344.328812,53.308063,356.942694,10.440095,30.602630,0,0,1,1,0,1,0,0
2025-01-08T00:00:00Z,2460683.50000,287.593557,31.233224,2.5917,362971.52,269.020405,334.738368,119.048238,72.191085,344.412979,53.288439,356.960054,11.432491,31.552247,0,0,1,1,0,1,0,0
2025-01-09T00:00:00Z,2460684.50000,288.612672,45.401844,3.5752,364258.68,270.443158,335.769166,118.663586,72.103883,344.498359,53.269593,356.977938,12.434119,32.504380,0,0,1,1,0,1,0,0
2025-01-10T00:00:00Z,2460685.50000,289.631727,59.548959,4.3310,366618.91,271.878423,336.793451,118.274259,72.019507,344.584934,53.251533,356.996342,13.445261,33.459075,0,0,1,1,0,1,0,0
